,FIRST,LAST,NICKNAME,HT,WT,REACH,STANCE,W,L,D,BELT
0,Tom,Aaron,,--,155 lbs.,--,,5,3,0,
1,Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,
2,David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,
3,Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,6,0,
4,Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,
5,Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,
6,Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,
7,Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,
8,Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,
9,Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0,
10,Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,
11,Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,
12,Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,
13,Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,3,0,
14,Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,21,1,0,
15,Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,
16,Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,
17,Mariya,Agapova,,"5' 6""",125 lbs.,"68.0""",Southpaw,9,2,0,
18,Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,
19,Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17,1,0,
20,Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0,
21,Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,
22,Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0,
23,Christian,Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14,8,0,
24,Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1,
25,Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,10,0,
26,Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1,
27,Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0,
28,Rostem,Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0,
29,Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0,
30,Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,
31,Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0,
32,Javi,Alanis,,"5' 6""",135 lbs.,--,,0,4,0,
33,,Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,14,8,2,
34,Amir,Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,14,1,0,
35,Brett,Albee,,--,225 lbs.,--,,3,2,0,
36,John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0,
37,Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0,
38,Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0,
39,Aleksandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0,
40,Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0,
41,Juan,Alcain,,--,--,--,,1,2,0,
42,Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0,
43,Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0,
44,Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1,3,1,
45,Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0,
46,Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,13,6,0,
47,Hector,Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0,
48,Jose,Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1,
